Symbol,symbol_url
BIRLACORPN,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
BLISSGVS,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
BLUEDART,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
BLUESTARCO,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS
BBTC,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/bombayburmahtradingcorporation/BBT
BOMDYEING,https://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM
BOSCHLTD,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
BPCL,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BRIGADE,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
BRITANNIA,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
CADILAHC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC
CANFINHOME,https://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH
CANBK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/canarabank/CB06
CAPLIPOINT,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL
CGCL,https://www.moneycontrol.com/india/stockpricequote/financegeneral/capriglobalcapital/MMF05
CARBORUNIV,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
CARERATING,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
CASTROLIND,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01
CCL,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10
CEATLTD,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
CENTRALBK,https://www.moneycontrol.com/india/stockpricequote/bankspublicsector/centralbankindia/CBO01
CENTRUM,https://www.moneycontrol.com/india/stockpricequote/financegeneral/centrumcapital/CF09
CENTURYPLY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
CERA,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18
CESC,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES
CROMPTON,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
CHALET,https://www.moneycontrol.com/india/stockpricequote/hotels/chalethotels/CH03
CHAMBLFERT,https://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
CHENNPETRO,https://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02
CHOLAFIN,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
CIPLA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
CUB,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB
COALINDIA,https://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11
COCHINSHIP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cochinshipyard/CS
COLPAL,https://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI
CONCOR,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI
COROMANDEL,https://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
CREDITACC,https://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/creditaccessgrameen/CG03
CRISIL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI
CUMMINSIND,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02
CYIENT,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07
DABUR,https://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI
DALBHARAT,https://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/OCL
DBCORP,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13
DCBBANK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01
DCMSHRIRAM,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
DEEPAKFERT,https://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP
DEEPAKNTR,https://www.moneycontrol.com/india/stockpricequote/chemicals/deepaknitrite/DN
DELTACORP,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11
DHFL,https://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF
DHANUKA,https://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01
DBL,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04
DISHTV,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV
DCAL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/dishmancarbogenamcis/DCA
DIVISLAB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03
DIXON,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07
DLF,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
LALPATHLAB,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01
DRREDDY,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL
ECLERX,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06
EDELWEISS,https://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01
EICHERMOT,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM
EIDPARRY,https://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID
EIHOTEL,https://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH
EMAMILTD,https://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06
ENDURANCE,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01
ENGINERSIN,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14
EQUITAS,https://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03
ERIS,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/erislifesciences/EL01
ESABINDIA,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
ESCORTS,https://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E
ESSELPACK,https://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11
EXIDEIND,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI
FDC,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC
FEDERALBNK,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB
FINEORG,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/fineorganicsindustries/FOI
FINCABLES,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01
FINPIPE,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
FSL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07
FORCEMOT,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01
FORTIS,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH
FCONSUMER,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI
